quizzes,solutions
4.30021E+78,8.64371E+80
4.01001E+79,3.46179E+80
6.0012E+80,6.95127E+80
4.972E+80,4.97258E+80
5.91031E+78,4.65912E+80
1.00005E+80,1.94685E+80
9.06543E+78,2.89765E+80
6.57702E+74,8.94232E+80
5.0307E+80,5.63472E+80
6.07209E+79,1.63726E+80
4.083E+78,9.74184E+80
6.02807E+76,4.31567E+80
4.3E+78,2.54368E+80
8.0701E+78,9.58274E+80
6.537E+79,8.65379E+80
5.71033E+78,8.65714E+80
2.00005E+80,2.68495E+80
4.08005E+79,9.47813E+80
5.0083E+79,6.52484E+80
7.00084E+80,7.12984E+80
6.705E+79,9.67254E+80
1.40903E+78,2.5148E+80
2.0603E+80,2.56734E+80
4.50218E+78,9.64532E+80
1.40061E+80,1.4257E+80
5.9E+80,5.98326E+80
1E+80,1.57468E+80
9.00084E+80,9.27384E+80
3.08056E+80,3.98256E+80
1.703E+80,1.76328E+80
4.03002E+78,9.54739E+80
8.32001E+79,1.83248E+80
8.03E+80,8.63915E+80
7.04901E+79,2.76495E+80
8.3004E+80,8.31246E+80
6.025E+79,1.68257E+80
5.04007E+79,7.51433E+80
1.0092E+79,3.18693E+80
7.80106E+79,5.78214E+80
5.601E+79,9.56418E+80
1.84701E+75,6.32952E+80
2.0504E+80,2.85747E+80
1.038E+80,1.23898E+80
8.5042E+80,8.51429E+80
6.149E+79,7.61496E+80
6.089E+80,6.38917E+80
7.009E+77,5.38743E+80
6.80905E+80,6.87935E+80
6.00837E+80,6.54837E+80
6.74308E+76,1.92567E+80
6.37004E+79,9.63752E+80
3.40002E+77,8.51348E+80
8.0706E+78,1.5848E+80
8.72005E+79,1.87235E+80
1.07008E+80,1.27399E+80
7.04011E+77,9.25785E+80
5.00039E+80,5.49639E+80
6.0005E+80,6.12454E+80
9.00407E+77,5.38972E+80
7.5009E+78,2.87514E+80
1.04073E+78,2.91846E+80
5.07108E+80,5.37169E+80
8.07E+80,8.27315E+80
4.00002E+79,6.43587E+80
2.8347E+78,5.62835E+80
4.318E+80,4.31826E+80
2.00001E+79,3.24857E+80
3.00015E+78,7.43869E+80
4.00053E+80,4.16853E+80
4.03001E+78,7.84236E+80
2.30001E+79,8.23957E+80
3.10201E+79,8.31529E+80
1.504E+79,8.15947E+80
6.04302E+80,6.54373E+80
4.80109E+76,2.65749E+80
9.00003E+80,9.18744E+80
2.078E+78,1.42979E+80
4.302E+79,1.43928E+80
2.06597E+80,2.16597E+80
2.706E+80,2.78635E+80
1.0907E+79,4.16957E+80
2.90041E+80,2.98541E+80
8.06231E+79,1.87624E+80
5.00071E+76,1.94254E+80
4.57603E+77,3.81458E+80
7.20041E+77,9.58724E+80
2.30051E+77,9.41239E+80
9.80046E+80,9.83746E+80
2E+80,2.94786E+80
4.20605E+78,1.84237E+80
9.0604E+79,1.97684E+80
7.506E+77,9.32755E+80
6E+80,6.17824E+80
2.098E+79,6.27982E+80
8.0607E+78,2.98362E+80
6.003E+80,6.87322E+80
6.1003E+80,6.18733E+80
2.0805E+78,3.92185E+80
6.03751E+78,9.26438E+80
4.00385E+79,6.47239E+80
4.5E+80,4.56971E+80
4.80001E+75,2.67955E+80
9.5E+80,9.51264E+80
6.0008E+77,5.23615E+80
9.05032E+80,9.15633E+80
5.0048E+80,5.2749E+80
8.094E+80,8.79422E+80
2.01008E+80,2.31978E+80
7.009E+80,7.23947E+80
1.90007E+78,6.31983E+80
3.2064E+79,7.32864E+80
5.00301E+80,5.29361E+80
3.0059E+80,3.47592E+80
4.0016E+75,8.79325E+80
6.03001E+78,9.56735E+80
5.90002E+79,8.59346E+80
8.3502E+80,8.3573E+80
5.00075E+79,8.53917E+80
4.93002E+78,6.74935E+80
6.32041E+79,9.63284E+80
9.0086E+80,9.13863E+80
9.0026E+80,9.43266E+80
1E+78,6.71938E+80
7.906E+76,4.53879E+80
5.007E+80,5.43768E+80
8.02906E+79,1.85294E+80
6.09204E+80,6.19244E+80
7E+79,8.74614E+80
9.5864E+78,1.39586E+80
8.602E+78,9.38643E+80
5.96007E+78,3.85962E+80
7.8001E+80,7.86415E+80
5.01078E+79,2.53198E+80
3.70401E+80,3.75462E+80
6.43901E+78,7.2644E+80
8.2009E+80,8.21796E+80
2.90006E+79,4.29177E+80
2.00007E+74,5.49138E+80
1.00009E+80,1.34929E+80
7.0102E+80,7.41629E+80
8.00001E+80,8.25138E+80
2.9E+80,2.98764E+80
1.405E+78,9.31466E+80
4.70001E+79,6.47813E+80
9.1008E+80,9.17487E+80
4.708E+77,9.16474E+80
3.40216E+79,8.34922E+80
3.00205E+78,8.93612E+80
3.80109E+77,5.74386E+80
4.0802E+80,4.38725E+80
7.3082E+79,9.73483E+80
1.30701E+78,8.21397E+80
2.04E+79,3.2646E+80
1.30002E+76,9.58413E+80
5.03961E+80,5.73962E+80
9.00001E+79,2.94367E+80
2.43705E+80,2.43785E+80
8.0051E+80,8.39516E+80
1.5304E+78,6.91532E+80
2.03049E+79,1.27355E+80
3.01002E+80,3.51793E+80
3.80275E+78,4.93863E+80
7.00002E+79,5.72394E+80
5.90037E+74,8.12377E+80
3.70218E+79,9.37422E+80
1.00041E+79,3.12655E+80
2.09E+80,2.89761E+80
5.0002E+79,7.56892E+80
7.30085E+78,2.97365E+80
5.43E+80,5.4322E+80
7E+79,9.78613E+80
6.3009E+77,8.75634E+80
9.00106E+80,9.73147E+80
4.7052E+79,9.47352E+80
7.01006E+77,2.39781E+80
9.0406E+78,5.89744E+80
6.49108E+80,6.49139E+80
8.00001E+77,9.41856E+80
1.02008E+77,4.73193E+80
9.00803E+77,6.57922E+80
3.0005E+78,2.13949E+80
9.638E+79,4.96383E+80
4.03901E+78,2.6454E+80
4.07201E+80,4.67284E+80
1.08E+80,1.58973E+80
1.00041E+80,1.76844E+80
2.09008E+77,7.35269E+80
9.0062E+80,9.78621E+80
4.00075E+79,6.48138E+80
8.30001E+79,5.83964E+80
6.0305E+79,7.68315E+80
1.43E+79,7.14399E+80
9.08004E+78,6.19582E+80
2.00308E+78,7.92513E+80
3E+80,3.57486E+80
9.06073E+80,9.16474E+80
5.00012E+80,5.73612E+80
4.0006E+78,1.34579E+80
4.00056E+80,4.92857E+80
8.5003E+78,6.18549E+80
8.63027E+80,8.63427E+80
5.0048E+78,1.95265E+80
4.9003E+74,8.56172E+80
1.00021E+80,1.34528E+80
4.60305E+75,2.78195E+80
4.00308E+78,6.24953E+80
8.007E+77,1.64896E+80
5.07301E+79,4.58732E+80
4.90107E+80,4.95167E+80
1.0057E+78,6.81936E+80
1.0403E+79,2.18454E+80
1.00096E+79,7.1484E+80
4.307E+80,4.35713E+80
6.00001E+78,9.46215E+80
3.02006E+79,6.3429E+80
2.40009E+80,2.48159E+80
7.80091E+79,6.78249E+80
6.14009E+79,3.61479E+80
7.30002E+76,5.26974E+80
5.0702E+80,5.67321E+80
5.98005E+79,2.59816E+80
5.0028E+79,4.59729E+80
2.06709E+80,2.86759E+80
5.03907E+79,1.52399E+80
8.2007E+79,6.82498E+80
9.08064E+79,4.91876E+80
9.37056E+79,8.93746E+80
3.0574E+80,3.65748E+80
7.003E+80,7.42396E+80
2.06008E+80,2.36949E+80
6.00059E+79,4.63126E+80
4.0001E+80,4.69817E+80
4E+80,4.35673E+80
6.074E+79,8.61743E+80
1.00005E+80,1.72565E+80
2.00081E+78,6.72432E+80
3.00029E+80,3.1873E+80
5.00063E+80,5.84963E+80
1.0065E+80,1.98654E+80
1.40001E+76,9.72814E+80
9.5001E+76,3.64796E+80
3.00002E+79,5.37824E+80
1.0607E+73,4.38965E+80
5.067E+80,5.96718E+80
1.82591E+79,4.1826E+80
4.00906E+78,8.74529E+80
9.00083E+79,2.97148E+80
7.50384E+76,2.96175E+80
1E+80,1.39854E+80
4.0008E+76,3.17943E+80
7.20056E+79,9.72316E+80
1.00073E+79,5.12467E+80
2.6E+78,5.32699E+80
6.98052E+79,7.69815E+80
7.40251E+80,7.41259E+80
3.20501E+76,8.17433E+80
5.8E+78,1.95876E+80
1.50609E+79,7.15365E+80
3.00709E+80,3.46759E+80
3.79E+80,3.79264E+80
3.64791E+78,1.23648E+80
1.08306E+80,1.78326E+80
9.802E+80,9.81254E+80
3E+78,7.1366E+80
9.00001E+80,9.46838E+80
6.7E+79,2.67535E+80
5.01E+79,9.56187E+80
6.8E+78,3.76852E+80
1.25004E+79,6.12593E+80
2.56E+76,7.84326E+80
9.00002E+80,9.67452E+80
3.081E+79,2.34818E+80
3.2005E+79,6.32976E+80
8.70002E+77,5.26873E+80
8.31041E+79,2.83175E+80
3.00011E+79,4.38971E+80
5.00011E+79,2.54891E+80
9.0001E+77,4.86938E+80
1.0002E+80,1.73926E+80
4.198E+79,5.41984E+80
5.0001E+80,5.86414E+80
1.605E+80,1.68539E+80
6.00325E+79,4.69133E+80
5.00097E+79,8.5143E+80
8.071E+80,8.47192E+80
2.30011E+80,2.37417E+80
2.13064E+78,7.52139E+80
6.1E+79,9.61875E+80
5.1872E+78,9.35187E+80
4.06905E+79,8.42698E+80
7.0003E+80,7.18236E+80
3.00201E+78,1.63543E+80
4.15E+77,8.39416E+80
3.00004E+78,5.93876E+80
9.705E+78,3.69716E+80
6.0503E+79,7.64514E+80
5.062E+79,7.54623E+80
8.00021E+80,8.65721E+80
7.00069E+80,7.52369E+80
1.00801E+79,2.15984E+80
6.0078E+78,3.96148E+80
8.31004E+78,5.98317E+80
9.1E+80,9.13453E+80
8.001E+77,4.26837E+80
8.073E+77,2.91857E+80
8.004E+80,8.92475E+80
9.00001E+79,3.91428E+80
4.7005E+80,4.78251E+80
9.80706E+78,1.59837E+80
9.40003E+80,9.41763E+80
6.007E+79,9.64174E+80
6.40701E+77,5.82642E+80
9.02E+80,9.82531E+80
5.10041E+79,2.51365E+80
7.0023E+80,7.49236E+80
9.00304E+80,9.86375E+80
7.208E+80,7.29846E+80
4.00105E+79,9.42719E+80
4.00036E+80,4.12737E+80
4.20071E+80,4.28972E+80
3.0164E+80,3.71646E+80
6.12078E+78,5.46124E+80
7.00001E+80,7.58491E+80
9.0001E+80,9.48216E+80
1.002E+80,1.74298E+80
1.05095E+78,2.61358E+80
3.00421E+79,5.38942E+80
3.0006E+80,3.85964E+80
7.80101E+79,3.78915E+80
1.907E+78,5.81938E+80
2.00801E+80,2.56814E+80
1.06E+79,9.12674E+80
4.00706E+77,8.92454E+80
1.6E+79,3.16786E+80
3.0007E+80,3.58172E+80
5.08104E+80,5.78135E+80
1.00003E+78,8.51397E+80
4.01007E+80,4.81267E+80
3.08074E+77,9.15368E+80
9.81E+79,6.98125E+80
4.08021E+80,4.38922E+80
6.02055E+80,6.72155E+80
5.03796E+79,2.5438E+80
5.30218E+79,7.53422E+80
1.0902E+78,5.61398E+80
1.00268E+76,4.3582E+80
9.40103E+80,9.48164E+80
6.20307E+79,5.6244E+80
2.036E+79,7.21369E+80
1.02605E+78,9.31527E+80
4.00095E+79,1.4383E+80
4.0109E+79,8.4317E+80
9.00571E+74,4.36252E+80
7.1008E+80,7.12686E+80
3.9E+80,3.91257E+80
7.0046E+78,1.27535E+80
2.0467E+80,2.34679E+80
1.903E+79,7.19835E+80
9.0008E+78,4.69572E+80
7.0098E+80,7.63985E+80
7.0006E+79,5.73497E+80
9.15603E+79,8.91563E+80
8.0007E+80,8.12675E+80
5.06409E+80,5.26439E+80
2.00401E+80,2.96474E+80
8.00006E+80,8.71936E+80
8.07E+80,8.57196E+80
1.08E+79,3.15827E+80
2.0304E+79,6.29355E+80
1.009E+80,1.74937E+80
3.29E+80,3.29175E+80
4.00317E+80,4.95317E+80
7.54003E+78,2.87542E+80
4.5018E+70,1.68329E+80
1.0006E+78,7.21846E+80
7.05001E+75,9.26817E+80
7.09608E+78,3.57196E+80
4.00009E+79,3.41266E+80
9.006E+80,9.75631E+80
2.0139E+79,8.2714E+80
1.0007E+77,2.93159E+80
7.00003E+76,4.58371E+80
4.17E+80,4.17924E+80
4.0068E+80,4.95682E+80
2.01009E+80,2.41589E+80
3.0008E+78,7.53947E+80
2.7E+80,2.75496E+80
2.008E+80,2.79863E+80
8.00201E+80,8.13265E+80
7.635E+77,1.49764E+80
8.00009E+80,8.24539E+80
9.002E+80,9.75248E+80
5.00001E+79,7.58361E+80
4.80006E+78,7.54829E+80
2.00501E+78,4.72386E+80
3.0007E+80,3.46571E+80
4.35902E+78,6.7436E+80
5.20406E+78,9.85234E+80
5.40806E+80,5.42837E+80
7.00038E+80,7.95139E+80
3.0001E+80,3.26418E+80
1.0009E+80,1.37894E+80
7.20089E+76,3.61473E+80
9.3E+75,8.64579E+80
5.20006E+78,1.8524E+80
1.05E+80,1.35946E+80
6.0009E+80,6.12396E+80
7.0208E+79,6.75298E+80
6.1008E+77,7.29614E+80
6.30051E+80,6.34259E+80
2E+79,1.28567E+80
9.60007E+80,9.62857E+80
5.1002E+79,4.51863E+80
5.00022E+78,9.75438E+80
8.02014E+77,9.74853E+80
8.9005E+80,8.97456E+80
9.00006E+80,9.75286E+80
3.0471E+78,9.83247E+80
5.068E+80,5.96873E+80
4.638E+80,4.63822E+80
5.39E+79,1.53963E+80
4.00005E+80,4.73965E+80
3.00482E+79,5.36748E+80
7.649E+76,8.25376E+80
3.00907E+78,2.5319E+80
7.00601E+80,7.31683E+80
7.604E+80,7.68494E+80
7.00409E+80,7.58429E+80
8.16057E+79,3.81626E+80
9.70001E+76,2.63197E+80
9.00029E+80,9.15429E+80
2.0013E+80,2.48136E+80
9.00301E+78,2.59873E+80
1.0092E+79,5.18493E+80
8.0007E+80,8.32675E+80
2.00019E+79,3.26742E+80
7.08002E+79,6.79843E+80
9.807E+78,6.59847E+80
5.10004E+79,6.51837E+80
8.90702E+80,8.96732E+80
6.97008E+73,8.31752E+80
5.10008E+80,5.19479E+80
6.50371E+78,1.96544E+80
2.105E+80,2.19547E+80
5.8107E+79,6.58147E+80
5.1079E+79,6.51379E+80
4.70891E+78,2.64759E+80
4.7906E+76,5.83148E+80
2.73068E+79,1.27397E+80
2.0547E+77,3.86295E+80
3.208E+79,7.32986E+80
6.50021E+76,4.31766E+80
6.53001E+80,6.53275E+80
2.0748E+77,5.96217E+80
4.507E+80,4.58719E+80
9.408E+79,5.94387E+80
8.90005E+80,8.97635E+80
9.6001E+78,2.89645E+80
2.7001E+78,6.92753E+80
2.08501E+78,3.62986E+80
2.00509E+80,2.3458E+80
1.3406E+80,1.34863E+80
7.0045E+79,1.78246E+80
8.05034E+80,8.95134E+80
2.0376E+78,9.12538E+80
8.0205E+80,8.42956E+80
7.81E+79,4.78136E+80
3.02008E+80,3.92168E+80
3.00005E+80,3.69425E+80
9.8007E+78,2.59837E+80
5.63003E+78,9.75634E+80
1.04051E+78,2.7185E+80
7.05093E+80,7.45893E+80
2.5E+78,9.42574E+80
1.2803E+76,5.74913E+80
5.001E+80,5.38169E+80
5.60031E+80,5.68438E+80
5.1084E+80,5.12847E+80
6.951E+80,6.95138E+80
7.0002E+79,8.73163E+80
8E+79,4.82375E+80
5.02408E+80,5.12469E+80
9.40605E+80,9.42685E+80
4.30602E+77,8.7144E+80
9E+80,9.43718E+80
6.0704E+80,6.87941E+80
8.0065E+80,8.49654E+80
9.6044E+75,2.1874E+80
2.8105E+78,4.62818E+80
7.00264E+77,5.91783E+80
1.07691E+77,8.45128E+80
5.078E+78,3.25479E+80
6.07805E+79,9.62783E+80
8.09005E+80,8.39745E+80
8.00901E+77,7.15847E+80
5.0006E+78,4.25784E+80
6.9705E+78,2.86972E+80
9.07106E+80,9.87146E+80
3.00501E+78,9.73465E+80
